Food Name,Field Changed,Old Value,New Value,Reference Page (IFCT),Reason,Confidence
Sour Lentils (Khatti Dal),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Urad Special Dehusked,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Arhar With Spinach (Arhar Dal Aur Palak),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Moong Dal With Vadi,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Rasam With Tamarind (Puli Rasam/ Chintapandu Rasam/ Charu/Saaru),region,South India,Pan Indian,N/A,Invalid region fallback,100%
Rasam With Lemon (Nimmakaya Rasam/Nimmakaya Charu/Elumichai Rasam/Nimbe Hannina Saaru),region,South India,Pan Indian,N/A,Invalid region fallback,100%
Green Gram Whole With Baghar (Sabut Moong Dal With Tadka),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Urad Sabut Special,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Kabuli Channa Curry,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Besan Gatte Curry,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Dry Masala Chops,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Minced Meat Ball Curry,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Boti Kebab,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mutton Seekh Kebab,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mushroom Matar,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Soya Chunks And Peas (Nutrinugget Matar),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Vegetable Yakhni,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Spinach Mushroom (Palak Mushroom),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Roast Chicken,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Tomato Chicken,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Creamy Chicken,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Broccoli Chicken Ala King,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Ginger Chicken,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Bengal Fish Curry (Bengali Machli Curry),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Fish Finger,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Fish In Coconut Milk (Nariyal Ke Doodh Ke Saath Machli),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Prawn Curry (With Coconut) (Jhinga Curry),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Baked Stuffed Fish,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Crispy Baked Fish,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Fish Souffle,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Potato Curry (Aloo Ki Sabzi),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Egg Curry (Anda Curry),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Vegetable Curry With Coconut,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Curd With Potatoes (Dahi Aloo),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Spinach And Potato (Palak Aloo),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cabbage Rolls (Dry) ((Cabbage Rolls) (Dry)),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cabbage Rolls (Curry) ((Cabbage Rolls)(Curry)),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Dry Arbi (Sookhi Arbi),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Masala Arbi,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Peas Brinjal Bhartha (Matar Baingan Bhartha),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Okra/Lady'S Fingers Fry (Bhindi Sabzi/Sabji/Subji),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Crispy Okra/Crispy Lady'S Fingers (Karare Bhindi),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Beans Foogath,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Stuffed Bittergourd (Wet) (Bharwa Karele),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Jackfruit/Kathal (Dry),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Vegetable Jalfrezi,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Vegetables Stir Fry,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Broccoli Delight,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Dhansak (Vegetarian),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cauliflower Basket,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Stuffed Bottle Gourd (Stuffed Ghiya/Lauki),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Ducheese Potato,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Roast Potatoes,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Stuffed Baked Potatoes,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Potato Nests,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Parsley Potato,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Creamed Spinach And Mushroom,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Fricassee Of Mushroom,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cauliflower Au Gratin,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Spinach Souffle,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Beetroot And Egg Salad (Chukandar Aur Ande Ka Salad),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Sour Cream Potato Salad,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Tossed Green Salad,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Spring Basket Salad,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cucumber And Yogurt Salad (Kheere Aur Dahi Ka Salad),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chicken And Tomato Towers,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Jellied Sunshine Fruit Salad,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Tomato Aspic,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Frozen Frosty Fruit Salad (Phalon Ka Salaad),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Curd Dressing,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Carrot Raita (Gajar Ka Raita),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pumpkin Raita (Kaddu Ka Raita),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mint And Peanut Raita (Pudinay Aur Moongfali Ka Raita),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Spinach Raita (Palak Ka Raita),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Bathua Raita,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pineapple Raita (Ananas Ka Raita),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Banana Raita (Kele Ka Raita),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mango Raita (Aam Ka Raita),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Guava Raita (Amarood Ka Raita),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Grapes Raita (Angoor Ka Raita),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pear Chocholate Sunday,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Coffee Pear Alaska,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Grape And Orange Whip,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Fruit Delight,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cold Lemon Souffle,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cold Orange Souffle,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cold Pineapple Souffle,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cold Vanilla Souffle,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Stewed Fruit (With Pear),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Apricot Fool,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Hot Lemon Souffle,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chum Chum,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Dil Bahar,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Rasbhari,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Rajbogh,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Masala Urad Dal Vada,region,South India,Pan Indian,N/A,Invalid region fallback,100%
Khaman (Dhokla),region,West India (Gujarati),Pan Indian,N/A,Invalid region fallback,100%
Instant Dhokla,region,West India (Gujarati),Pan Indian,N/A,Invalid region fallback,100%
Tomato Ginger Chutney (Tamatar Adarak Ki Chutney),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mint Tomato Chutney (Pudinay Aur Tamatar Ki Chutney),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Coriander Chutney (Hare Dhaniye Ki Chutney),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Gooseberry Chutney (Amla Chutney),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Walnut Chutney (Akhrot Ki Chutney),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Saunth/Sonth Chutney With Ginger,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Gun Powder Chutney,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Dessicated Coconut Chutney (Sookhe Kase Nariyal Ki Chutney),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Curd Mint Dip,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Curd Vegetable Dip,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Tomato And Cucumber Sandwich (Tamatar Aur Kheere Ka Sandwich),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Tomato Sandwich (Grilled),region,All India,Pan Indian,N/A,Invalid region fallback,100%
French Sandwich (Toasted),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Peanut Butter Cucumber Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mint And Peanut Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Spicy Chutney Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chicken Walnut Sandwich (Chicken Aur Akhrot Ke Sandwich),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Rolled Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Ribbon Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Checker Board Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Submarine Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cheese Open Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Sunset And Sunrise Open Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Danish Luncheon Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chicken And Corn Open Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Lemon Curd Filling,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Orange Gateau,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Black Forest Gateau,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Coffee Drops,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cheese Straws,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Fruit Flan,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Savoury Puffs,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Savoury Cheese Horns,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Paneer Patties,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Vegetable Patties,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pearl Millet Infant Food (Bajra Shishu Aahaar),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Sajina,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cereal Mix,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pulse Mix,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Shishu Ahar,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cereal Pulse Mix With Amylase Rice Flour,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Banana Groundnut Paste/Puree,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Rice Dal Porridge (Chawal Dal Ki Khichdi/Khichdi),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Lentils And Semolina Porridge (Dal Suji Porridge/Daliya),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Spinach Khichdi (Palak Khichdi/Khichdi),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Vegetable Mix,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Lentils And Wheat Porridge (Dal Wheat Porridge/Daliya ),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Maize Porridge,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Besan Bathua Chilla/Chilla,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Gram Flour And Semolina Dhokla (Besan Suji Dhokla),region,West India (Gujarati),Pan Indian,N/A,Invalid region fallback,100%
Soya Roti,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Poshtik Khichdi/Khichdi,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Sprouts Upma,region,South India,Pan Indian,N/A,Invalid region fallback,100%
Semolina Idli (Suji/Rava Idli),region,South India,Pan Indian,N/A,Invalid region fallback,100%
Poshtik Chilla/Chilla,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Stuffed Bittergourd (Dry) (Bharwa Karela),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cauliflower Potato Canjee,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Creamed Spinach,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Sattu Drink,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Thandai,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cucumber Sharbat (Kheere Ka Sharbat),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Apple Oats Chia Seed Smoothie,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Semolina Milk Drink (Thari Kanji),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Saffron Milk (Kesariya Doodh),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Kesari Bath,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Putharekulu,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chhena Poda,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Prawn Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Watercress Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Fish Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Kidney Bean Sandwich With Cottage Cheese,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Afghani Chicken,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Fish Orly,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Hariyali Fish Tikka,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chicken Manchurian,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Handi Chicken,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Lemon Chicken,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Lemon Butter Fish,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Baked Eggs In Tomato Sauce,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Egg In A Pepper,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Spinach Mushroom Scrambled Egg (Palak Mushroom Bhurji),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Corn Omelette/Omelette,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cajun Chicken,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Paaner Do Pyaza,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cabbage Manchurian (Cabbage Manchurian),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Gobi 65,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Paneer Lababdar,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cauliflower Steak,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Sauteed Radishes With Green Beans,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Garlic Chutney/Poondu Chutney (Garlic Ki Chutney),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Schezwan Chutney,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Onion Chutney (Onion Ki Chutney/Vengaya Chutney),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Dates Chutney (Khajoor Ki Chutney),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chicken Salad,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Macaroni Salad,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cabbage Raita (Cabbage Raita),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pomegranate Raita (Anaar Ka Raita),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Onion Raita (Onion Ka Raita),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Green Chilli Raita (Hari Mirch Ka Raita),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Kale Salad,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Spinach And Paneer Souffle,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Masala Souffle,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chicken And Cheese Souffle,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Tamarind Chutney (Chintapandu Pachadi/Puli Chutney),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pav Bhaji Masala,region,West India (Maharashtrian),Pan Indian,N/A,Invalid region fallback,100%
Green Chutney,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Sago Khichdi/Khichdi (Sabudana Khichdi/Khichdi),region,West India (Maharashtrian),Pan Indian,N/A,Invalid region fallback,100%
Gram Flour Chilla/Chilla (Besan Chilla/Chilla),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Khakhra,region,West India (Gujarati),Pan Indian,N/A,Invalid region fallback,100%
Moong Bean Dosa (Pesarattu),region,South India,Pan Indian,N/A,Invalid region fallback,100%
Methi Thepla,region,West India (Gujarati),Pan Indian,N/A,Invalid region fallback,100%
Rice Puttu (Ari Puttu),region,South India,Pan Indian,N/A,Invalid region fallback,100%
Quinoa Khichdi/Khichdi,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Khakhra Chaat,region,West India (Gujarati),Pan Indian,N/A,Invalid region fallback,100%
Banana Appam,region,South India,Pan Indian,N/A,Invalid region fallback,100%
Veg Manchurian,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pav Bhaji,region,West India (Maharashtrian),Pan Indian,N/A,Invalid region fallback,100%
Semolina Dhokla (Suji/Rava Dhokla),region,West India (Gujarati),Pan Indian,N/A,Invalid region fallback,100%
Spicy Corn Chaat,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Whey Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Bottle Gourd Soup (Ghiya/Lauki Soup),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Baked Potato Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pumpkin Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Paneer Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Curried Cauliflower Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Millet Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Lemon Coriander Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Garlic Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Dal Makhani,region,North India,Pan Indian,N/A,Invalid region fallback,100%
Dalma,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Split Bengal Gram Dal (Channa Dal),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Horsegram Dal (Kulthi Dal),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Panchmel Dal,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Dal Dhokli,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Gujarati Handvo,region,West India (Gujarati),Pan Indian,N/A,Invalid region fallback,100%
Jowar Dosa,region,South India,Pan Indian,N/A,Invalid region fallback,100%
Soya Seekh Kebab,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Classic Seasoned Black Beans,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Maa Chaane Ki Dal,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Garlic Chickpea Soup (Garlic Aur Chane Ka Shoraba),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mustard Sauce,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Classic Italian Pasta,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pasta Spinach Sauce,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Curd Dip,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Channa Murmura Premix,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cracked Wheat And Green Gram Dal Premix (Dalia Moong Dal Premix),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Rice Flakes And Roasted Channa,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Spinach Soup In Milk,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Vegetable Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mashed Banana With Milk,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Poha With Curd (Poha Aur Dahi),region,West India (Maharashtrian),Pan Indian,N/A,Invalid region fallback,100%
Potato With Curd,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Vegetable Khichdi/Khichdi,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Moong Dal Mixture,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cracked Wheat Khichdi/Khichdi (Dalia Khichdi/Khichdi),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Stewed Apple,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Plum Chutney (Aloo Bukhara Ki Chutney),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Raw Mango Chutney (Kachhe Aam/Kairi Ki Chutney),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Tomato Sauce,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Tomato Puree,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Garam Masala,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chat Masala,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Kashmiri Masala,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Rasam Powder (Rasam Masala),region,South India,Pan Indian,N/A,Invalid region fallback,100%
Sambar Powder (Sambar Masala),region,South India,Pan Indian,N/A,Invalid region fallback,100%
Bread Sauce,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Green Chilli Sauce,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Home Made Plain Noodles,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Dal Moong,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cumin Seeds Baghar (Jeera Baghar/Tadka),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Onion Tomato Baghar (Onion Tamatar Ka Tadka),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mustard Seeds Baghar (Mustard Seed Tadka),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Hot Cherry Sauce,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Tomato Chutney (Tamatar Ki Chutney),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Bengal 5 Spice Blend (Panch Phoran),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Moong Dal Chilla,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Oats Idli,region,South India,Pan Indian,N/A,Invalid region fallback,100%
Ragi Dosa,region,South India,Pan Indian,N/A,Invalid region fallback,100%
Vegetable Dalia (Broken Wheat),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Sprouts Salad (Moong),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Besan Chilla,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Quinoa Upma,region,South India,Pan Indian,N/A,Invalid region fallback,100%
Methi Thepla (Low Oil),region,West India (Gujarati),Pan Indian,N/A,Invalid region fallback,100%
Egg White Scramble With Spinach,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Soya Chunks Curry (Low Oil),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Palak Paneer (Low Fat),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Grilled Fish (Rohu/Surmai),region,West India (Maharashtrian),Pan Indian,N/A,Invalid region fallback,100%
Rajma Curry (Low Oil),region,North India,Pan Indian,N/A,Invalid region fallback,100%
Chana Masala (Low Oil),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Dal Tadka (Less Ghee),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Tofu Bhurji,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mushroom Matar (Low Oil),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chicken Stew With Veggies,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Paneer Bhurji (Low Oil),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Lauki Chana Dal,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mixed Vegetable Stew,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Grilled Chicken Breast (Indian Spices),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Masoor Dal (Light),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Baingan Bharta (Low Oil),region,North India,Pan Indian,N/A,Invalid region fallback,100%
Fish Curry (Kerala Style - Low Coconut),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Soya Kheema (Dry),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Moong Dal Tadka,region,All India,Pan Indian,N/A,Invalid region fallback,100%
"Egg Curry (Tomato Base, 2 Eggs)",region,All India,Pan Indian,N/A,Invalid region fallback,100%
Multigrain Roti,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Jowar Roti,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Bajra Roti,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Brown Rice (1 Cup Boiled),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cucumber Tomato Salad,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Makhana (Fox Nuts),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chana,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Boiled Peanuts,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Sprouts Chaat,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Greek Yogurt With Berries,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Apple With Almonds,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Boiled Eggs (2),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Whey Protein Shake,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pumpkin Seeds,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Masala Oats (Small Bowl),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chicken Tikka (Air Fried),region,All India,Pan Indian,N/A,Invalid region fallback,100%
"Mixed Veg Lemon Rice (Pulihora, Elumichai Sadam, Chitranna)",region,All India,Pan Indian,N/A,Invalid region fallback,100%
Spicy Fish Sandwich,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Spicy Roasted Pumpkin Seeds,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Diet Vegetable Dalia (Broken Wheat),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Spicy Home Made Plain Noodles,region,All India,Pan Indian,N/A,Invalid region fallback,100%
