name,calories,protein,fat,carbohydrate,goal
"Chicken, stewed, cooked, meat and skin, stewing",285,26.88,18.87,0.0,Muscle Gain
"Elk, raw (Shoshone Bannock), ground, free range",97,20.14,1.8,0.0,Muscle Gain
"Alcoholic Beverage, Carignane, red, table, wine",74,0.07,0.0,2.4,Weight Loss
"Alcoholic Beverage, Lemberger, red, table, wine",80,0.07,0.0,2.46,Weight Loss
"Alcoholic Beverage, Zinfandel, red, table, wine",88,0.07,0.0,2.86,Weight Loss
"SPAGHETTIOS, Spaghetti in Tomato & Cheese Sauce",80,2.78,0.6,15.87,Weight Loss
"Beef, raw, ribs prepared, imported, New Zealand",146,21.31,6.78,0.0,Muscle Gain
"Beef, raw, tripe, variety meats and by-products",85,12.07,3.69,0.0,Weight Loss
"Babyfood, strained, apricot with tapioca, fruit",60,0.3,0.0,16.3,Weight Loss
"Sweet potato leaves, with salt, steamed, cooked",35,2.18,0.34,7.38,Weight Loss
"PAPA JOHN'S 14"" The Works Pizza, Original Crust",240,10.27,10.21,26.69,Maintain
"Beef, raw, heart, variety meats and by-products",112,17.72,3.94,0.14,Muscle Gain
"Beef, raw, liver, variety meats and by-products",135,20.36,3.63,3.89,Muscle Gain
"Noodles, with added salt, enriched, cooked, egg",138,4.54,2.07,25.16,Weight Loss
"Mollusks, fried, cooked, mixed species, abalone",189,19.63,6.78,11.05,Muscle Gain
"Peas, with salt, drained, boiled, cooked, green",84,5.36,0.22,15.63,Weight Loss
"CAMPBELL'S CHUNKY Soups, Manhattan Clam Chowder",52,2.04,1.43,7.76,Weight Loss
"PAPA JOHN'S 14"" Pepperoni Pizza, Original Crust",275,11.97,11.86,30.04,Maintain
"Kohlrabi, without salt, drained, boiled, cooked",29,1.8,0.11,6.69,Weight Loss
"Potatoes, no salt added, drained solids, canned",62,1.4,0.2,13.6,Weight Loss
"Squash, canned, italian style, zucchini, summer",29,1.03,0.11,6.85,Weight Loss
"Fish, fermented (Alaska Native), tipnuk, salmon",159,15.9,10.6,0.0,Muscle Gain
"Milk dessert, chocolate, milk-fat free, frozen",167,4.3,1.0,37.7,Weight Loss
"Chicken, stewed, meat only, broilers or fryers",177,27.29,6.71,0.0,Muscle Gain
"Fish, dry heat, cooked, farmed, rainbow, trout",168,23.8,7.38,0.0,Muscle Gain
"Chicken breast, sliced, fat-free, oven-roasted",79,16.79,0.39,2.17,Muscle Gain
"Soup, single brand, condensed, bean with bacon",117,6.5,2.1,18.0,Weight Loss
"Fish, dry heat, cooked, fresh, yellowfin, tuna",130,29.15,0.59,0.0,Muscle Gain
"Babyfood, strained, vegetables and ham, dinner",59,2.19,2.14,7.8,Weight Loss
"Peach nectar, with added ascorbic acid, canned",54,0.27,0.02,13.92,Weight Loss
"Beans, low sodium, canned, mature seeds, black",91,6.03,0.29,16.55,Weight Loss
"Fish, dry heat, cooked, wild, Atlantic, salmon",182,25.44,8.13,0.0,Muscle Gain
"Syrups, reduced-calorie, pancake, table blends",165,0.0,0.0,44.55,Weight Loss
"Fish, solids and liquid, canned, Atlantic, cod",105,22.76,0.86,0.0,Muscle Gain
"Soup, condensed, low sodium, canned, vegetable",65,2.2,0.9,12.11,Weight Loss
"Sauce, canned, mature red, chili, hot, peppers",21,0.9,0.6,3.9,Weight Loss
"KASHI Pizza, unprepared, frozen, Mediterranean",231,12.7,7.5,31.0,Maintain
"Turkey, simmered, cooked, all classes, gizzard",155,26.45,4.64,0.0,Muscle Gain
"Fish, dry heat, cooked, mixed species, grouper",118,24.84,1.3,0.0,Muscle Gain
"Chicken, raw, meat and skin, cornish game hens",200,17.15,14.02,0.0,Muscle Gain
"Sauce, CHA! BY TEXAS PETE, sriracha, hot chile",108,2.02,0.98,22.73,Weight Loss
"McDONALD'S, Vanilla Reduced Fat Ice Cream Cone",162,4.24,4.86,26.36,Weight Loss
"BURGER KING, CROISSAN'WICH with Egg and Cheese",283,10.35,15.78,24.79,Maintain
"Potatoes, home-prepared with butter, scalloped",88,2.87,3.68,10.78,Weight Loss
"Babyfood, junior, banana and strawberry, fruit",109,0.71,0.37,25.78,Weight Loss
"Vegetable juice, DAILY GREENS, BOLTHOUSE FARMS",31,0.49,0.04,8.13,Weight Loss
"Babyfood, strained, apple and blueberry, fruit",61,0.2,0.2,16.3,Weight Loss
"Beverages, ready-to-drink, ENSURE PLUS, ABBOTT",141,5.16,4.52,19.88,Weight Loss
"Dip, cheese and salsa- medium, salsa con queso",143,3.14,9.51,11.14,Weight Loss
"Chicken, pan-fried, cooked, all classes, liver",172,25.78,6.43,1.11,Muscle Gain
"McDONALD'S, DOUBLE QUARTER POUNDER with Cheese",262,16.96,16.22,14.43,Muscle Gain
"Lemon juice from concentrate, CONCORD, bottled",24,0.4,0.07,5.37,Weight Loss
"Corn, microwaved, frozen, whole kernel, yellow",131,3.62,1.42,25.87,Weight Loss
"Soup, ready-to-serve, canned, chunky vegetable",39,1.14,0.36,7.9,Weight Loss
"Pumpkin, without salt, drained, boiled, cooked",20,0.72,0.07,4.9,Weight Loss
"Alcoholic Beverage, Burgundy, red, table, wine",86,0.07,0.0,3.69,Weight Loss
"Alcoholic Beverage, Mouvedre, red, table, wine",88,0.07,0.0,2.64,Weight Loss
"Sesbania flower, without salt, steamed, cooked",22,1.14,0.05,5.23,Weight Loss
"Milk, reduced fat, cultured, fluid, buttermilk",56,4.1,2.0,5.3,Weight Loss
"Beef, broiled, cooked, frozen, patties, ground",295,23.05,21.83,0.0,Muscle Gain
"Yogurt parfait, with fruit and granola, lowfat",84,3.36,1.01,15.86,Weight Loss
"Carrots, without salt, drained, boiled, cooked",35,0.76,0.18,8.22,Weight Loss
"Cardoon, without salt, drained, boiled, cooked",22,0.76,0.11,5.33,Weight Loss
"Fish, dry heat, cooked, mixed species, snapper",128,26.3,1.72,0.0,Muscle Gain
"Seeds, partially defatted, safflower seed meal",342,35.62,2.39,48.73,Muscle Gain
"Frozen novelties, juice with cream, juice type",115,1.41,1.41,24.11,Weight Loss
"CAMPBELL'S Soup on the Go, Classic Tomato Soup",46,0.98,0.16,10.16,Weight Loss
"Tomato products, with mushrooms, sauce, canned",35,1.45,0.13,8.43,Weight Loss
"Caribou, half dried (Alaska Native), rump meat",255,52.06,5.23,0.0,Muscle Gain
"Fish, total can contents, canned, pink, salmon",129,19.68,4.97,0.0,Muscle Gain
"Beverages, Berry Blend, V8 SPLASH Juice Drinks",29,0.0,0.0,7.41,Weight Loss
"Beverages, Mango Peach, V8 SPLASH Juice Drinks",33,0.0,0.0,8.23,Weight Loss
"Fish, dry heat, cooked, wild, channel, catfish",105,18.47,2.85,0.0,Muscle Gain
"Oopah (tunicate), whole animal (Alaska Native)",67,11.7,2.2,0.0,Weight Loss
"Guava nectar, with added ascorbic acid, canned",63,0.09,0.06,16.25,Weight Loss
"Babyfood, strained, apples and chicken, dinner",65,2.16,1.38,10.88,Weight Loss
"Babyfood, junior, broccoli and chicken, dinner",62,3.59,2.48,6.34,Weight Loss
"MORNINGSTAR FARMS Corn Dog, unprepared, frozen",208,11.2,3.5,36.0,Maintain
"Duck, roasted, cooked, meat only, domesticated",201,23.48,11.2,0.0,Muscle Gain
"Prairie Turnips, raw (Northern Plains Indians)",156,2.62,0.36,35.67,Weight Loss
"Seasoning mix, coriander & annatto, sazon, dry",0,0.0,0.0,0.0,Weight Loss
"Babyfood, strained, vegetables chicken, dinner",59,2.47,1.73,8.42,Weight Loss
"Gelatin desserts, prepared with water, dry mix",62,1.22,0.0,14.19,Weight Loss
"Ice creams, All Natural Light Vanilla, BREYERS",162,4.84,4.59,25.3,Weight Loss
"T.G.I. FRIDAY'S, classic sirloin steak (10 oz)",196,31.02,7.83,0.47,Muscle Gain
"Cheese, low fat, American, pasteurized process",180,24.6,7.0,3.5,Muscle Gain
"Babyfood, strained, pears and pineapple, fruit",41,0.3,0.1,10.9,Weight Loss
"Babyfood, strained, apple and raspberry, fruit",58,0.2,0.2,15.6,Weight Loss
"CAMPBELL'S CHUNKY Soups, Savory Pot Roast Soup",49,2.86,0.41,8.16,Weight Loss
"CAMPBELL'S CHUNKY Soups, Savory Vegetable Soup",44,1.22,0.41,8.98,Weight Loss
"OLIVE GARDEN, chicken parmigiana without pasta",211,15.33,11.23,12.28,Muscle Gain
"Beverages, lemon, ready-to-drink, tea, ARIZONA",39,0.0,0.0,9.77,Weight Loss
"Chicken, pan-browned, cooked, crumbles, ground",189,23.28,10.92,0.0,Muscle Gain
"Milk, with added vitamin A, evaporated, canned",134,6.81,7.56,10.04,Weight Loss
"Salsify, without salt, drained, boiled, cooked",68,2.73,0.17,15.36,Weight Loss
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",47,3.41,1.3,5.41,Weight Loss
"CAMPBELL'S CHUNKY Soups, Steak 'N' Potato Soup",49,3.27,0.82,7.35,Weight Loss
"Soy protein concentrate, produced by acid wash",328,63.63,0.46,25.41,Muscle Gain
"Tofu, prepared with calcium sulfate, firm, raw",144,17.27,8.72,2.78,Muscle Gain
"Babyfood, butternut squash and corn, vegetable",50,2.0,0.6,9.26,Weight Loss
"Sweet potato, with salt, baked, cooked, frozen",100,1.71,0.12,23.4,Weight Loss
"Turkey, raw, meat only, from whole bird, thigh",108,21.28,2.5,0.15,Muscle Gain
"Spinach, without salt, drained, boiled, cooked",23,2.97,0.26,3.75,Weight Loss
"Puddings, prepared with 2% milk, dry mix, rice",111,3.29,1.63,20.81,Weight Loss
"Alcoholic beverage, Muscat, white, table, wine",82,0.07,0.0,5.23,Weight Loss
"Turkey, roasted, cooked, dark meat, from whole",173,27.71,6.04,0.0,Muscle Gain
"PIZZA HUT 14"" Sausage Pizza, Hand-Tossed Crust",287,11.92,13.5,29.39,Maintain
"DOMINO'S 14"" Sausage Pizza, Crunchy Thin Crust",319,12.77,18.52,25.3,Maintain
"Potatoes, unprepared, refrigerated, hash brown",84,1.75,0.08,19.16,Weight Loss
"Lotus root, with salt, drained, boiled, cooked",66,1.58,0.07,16.02,Weight Loss
"Beans, canned, mature seeds, cranberry (roman)",83,5.54,0.28,15.12,Weight Loss
"Beans, canned, mature seeds, all types, kidney",84,5.22,0.6,14.5,Weight Loss
"Fish, dry heat, cooked, mixed species, whiting",116,23.48,1.69,0.0,Muscle Gain
"Egg, glucose reduced, stabilized, dried, white",357,84.08,0.32,4.51,Muscle Gain
"Turnips, without salt, drained, boiled, cooked",22,0.71,0.08,5.06,Weight Loss
"Cabbage, without salt, drained, boiled, cooked",23,1.27,0.06,5.51,Weight Loss
"Carrots, drained solids, no salt added, canned",25,0.64,0.19,5.54,Weight Loss
"Turkey, raw, meat and skin, wing, retail parts",202,19.53,13.79,0.05,Muscle Gain
"CAMPBELL'S Soup on the Go, Vegetable Beef Soup",20,0.98,0.33,3.28,Weight Loss
"CAMPBELL'S Soup on the Go, Creamy Chicken Soup",43,0.98,2.95,3.28,Weight Loss
"Willow, chopped (Alaska Native), young leaves",122,6.1,1.6,20.7,Weight Loss
"Frozen novelties, CREAMSICLE Pops, Sugar Free",49,1.37,2.33,11.95,Weight Loss
"WORTHINGTON Prosage Links, unprepared, frozen",143,20.2,4.7,5.0,Muscle Gain
"Broadbeans (fava beans), canned, mature seeds",71,5.47,0.22,12.41,Weight Loss
"Peanuts, with salt, boiled, cooked, all types",318,13.5,22.01,21.26,Maintain
"Fish, dry heat, cooked, fresh, skipjack, tuna",132,28.21,1.29,0.0,Muscle Gain
"Turkey, raw, meat and skin, wing, all classes",197,20.22,12.32,0.0,Muscle Gain
"Babyfood, junior, bananas with tapioca, fruit",67,0.4,0.2,17.8,Weight Loss
"Babyfood, mix vegetables strained, vegetables",36,1.0,0.5,8.25,Weight Loss
"Babyfood, junior, vegetables and lamb, dinner",51,2.1,1.7,7.1,Weight Loss
"Fish, liver (Alaska Native), broad, whitefish",104,11.0,4.4,5.1,Weight Loss
"Pear nectar, with added ascorbic acid, canned",60,0.11,0.01,15.76,Weight Loss
"Potatoes, without salt, flesh and skin, baked",93,2.5,0.13,21.15,Weight Loss
CAMPBELL'S Homestyle New England Clam Chowder,70,2.33,4.23,5.68,Weight Loss
"Beverages, SPECIAL K Protein Shake, KELLOGG'S",64,3.2,1.6,9.2,Weight Loss
"Squash, unprepared, frozen, butternut, winter",57,1.76,0.1,14.41,Weight Loss
"Rice, unenriched, cooked, medium-grain, white",130,2.38,0.21,28.59,Weight Loss
"Soybeans, without salt, boiled, mature cooked",172,18.21,8.97,8.36,Muscle Gain
"Sauce, TUONG OT SRIRACHA, sriracha, hot chile",79,1.86,0.9,15.87,Weight Loss
"Chicken, raw, meat only, light meat, roasting",109,22.2,1.63,0.0,Muscle Gain
"Chicken, roasted, cooked, meat only, roasting",167,25.01,6.63,0.0,Muscle Gain
"Peppers, solids and liquids, canned, jalapeno",27,0.92,0.94,4.74,Weight Loss
"Fish, with skin (Alaska Native), raw, halibut",116,20.53,2.92,1.81,Muscle Gain
"Fish, dry heat, cooked, Atlantic, ocean perch",96,18.51,1.87,0.0,Muscle Gain
"Babyfood, junior, egg yolks and bacon, cereal",79,2.5,5.0,6.2,Weight Loss
"Borage, without salt, drained, boiled, cooked",25,2.09,0.81,3.55,Weight Loss
"Babyfood, strained, banana with mixed berries",92,1.01,0.36,21.31,Weight Loss
"Beverages, White Cranberry Peach, OCEAN SPRAY",45,0.13,0.01,11.88,Weight Loss
"Milk, homemade, hot cocoa, chocolate beverage",77,3.52,2.34,10.74,Weight Loss
"Ground turkey, pan-broiled crumbles, fat free",151,31.69,2.71,0.0,Muscle Gain
"Cranberry sauce, OCEAN SPRAY, canned, jellied",160,1.05,0.04,40.61,Weight Loss
"Soup, condensed, canned, vegetarian vegetable",59,1.72,1.58,9.78,Weight Loss
"Babyfood, junior, apricot with tapioca, fruit",63,0.3,0.0,17.3,Weight Loss
"Mollusks, liquid, canned, mixed species, clam",2,0.4,0.02,0.1,Weight Loss
"Babyfood, sweet potatoes strained, vegetables",57,1.1,0.1,13.2,Weight Loss
"Salad dressing, low calorie, russian dressing",141,0.5,4.0,27.6,Weight Loss
"Pears, solids and liquids, water pack, canned",29,0.19,0.03,7.81,Weight Loss
"Pears, solids and liquids, juice pack, canned",50,0.34,0.07,12.94,Weight Loss
"Spinach, drained solids, regular pack, canned",23,2.81,0.5,3.4,Weight Loss
"KASHI, Frozen Entree, Southwest Style Chicken",109,5.7,1.8,17.4,Weight Loss
"CAMPBELL'S, High Fiber V8, V8 Vegetable Juice",25,0.82,0.0,5.39,Weight Loss
"Carrots, drained solids, regular pack, canned",25,0.64,0.19,5.54,Weight Loss
"Milk substitutes, with lauric acid oil, fluid",61,1.75,3.41,6.16,Weight Loss
"CAMPBELL'S, condensed, Chicken with Rice Soup",68,1.84,1.64,11.28,Weight Loss
"Chicken, simmered, cooked, all classes, heart",185,26.41,7.92,0.1,Muscle Gain
"Chicken, simmered, cooked, all classes, liver",167,24.46,6.51,0.87,Muscle Gain
"Butterbur, with salt, drained, boiled, cooked",8,0.23,0.02,2.16,Weight Loss
"Frozen novelties, pineapple-coconut, ice type",113,0.0,2.6,23.9,Weight Loss
"Turnip greens and turnips, unprepared, frozen",21,2.46,0.19,3.39,Weight Loss
"Vegetables, solids and liquids, canned, mixed",36,1.42,0.25,7.13,Weight Loss
"CAMPBELL'S, Low Sodium V8, V8 Vegetable Juice",21,0.82,0.0,4.12,Weight Loss
"CAMPBELL'S, V8 V-Lite, V8 60% Vegetable Juice",14,0.41,0.0,2.88,Weight Loss
"Beverages, sugar free, ROCKSTAR, Energy drink",4,0.25,0.08,0.7,Weight Loss
"Caribou, dried (Alaska Native), shoulder meat",271,59.38,3.67,0.0,Muscle Gain
"Fish, drained solids, canned, sockeye, salmon",167,23.59,7.39,0.0,Muscle Gain
"Arrowhead, with salt, drained, boiled, cooked",78,4.49,0.1,16.14,Weight Loss
"Asparagus, with salt, drained, boiled, cooked",22,2.4,0.22,4.11,Weight Loss
"Babyfood, toddler, beef with vegetables, meat",68,3.5,2.1,8.72,Weight Loss
"Cheese, large or small curd, creamed, cottage",98,11.12,4.3,3.38,Weight Loss
"Restaurant, prepared, beef, empanadas, Latino",335,11.31,18.37,31.19,Maintain
"Mollusks, moist heat, cooked, Pacific, oyster",163,18.9,4.6,9.9,Muscle Gain
"Mollusks, moist heat, cooked, common, octopus",164,29.82,2.08,4.4,Muscle Gain
"Beef, raw, lean only, strip steaks, grass-fed",117,23.07,2.69,0.0,Muscle Gain
"Babyfood, junior, vegetables and beef, dinner",77,2.21,3.6,8.84,Weight Loss
"Fish, dry heat, cooked, pumpkin seed, sunfish",114,24.87,0.9,0.0,Muscle Gain
"Restaurant, without meat, fried rice, Chinese",174,4.05,2.96,32.79,Weight Loss
"DOMINO'S 14"" Cheese Pizza, Crunchy Thin Crust",298,12.33,15.1,28.18,Maintain
"PIZZA HUT 12"" Cheese Pizza, Hand-Tossed Crust",271,11.93,10.89,31.22,Maintain
"Sauce, with salt, bottled, tomato chili sauce",92,2.5,0.3,19.79,Weight Loss
"Turkey, roasted, cooked, meat and skin, whole",189,28.55,7.39,0.06,Muscle Gain
"Squab, raw, light meat without skin, (pigeon)",134,21.76,4.52,0.0,Muscle Gain
"Tomato products, spanish style, sauce, canned",33,1.44,0.27,7.24,Weight Loss
"Babyfood, strained, blueberry yogurt, dessert",77,0.5,0.7,17.05,Weight Loss
"Soup, ready-to-serve, chunky, canned, chicken",71,5.06,2.64,6.88,Weight Loss
"Nuts, boiled and steamed, european, chestnuts",131,2.0,1.38,27.76,Weight Loss
"Soup, ready-to-serve, canned, lentil with ham",56,3.74,1.12,8.16,Weight Loss
"OSCAR MAYER, Ham (chopped with natural juice)",180,16.3,11.15,3.65,Muscle Gain
"USDA Commodity, frozen, chicken fajita strips",135,18.56,5.73,2.23,Muscle Gain
"Chokecherries, pitted (Shoshone Bannock), raw",156,2.89,0.98,33.88,Weight Loss
"Babyfood, green beans and potatoes, vegetable",62,2.2,1.9,9.0,Weight Loss
"Babyfood, junior, macaroni and cheese, dinner",61,2.6,2.0,8.2,Weight Loss
"Pasta, without added salt, unenriched, cooked",158,5.8,0.93,30.86,Weight Loss
"Alcoholic Beverage, Barbera, red, table, wine",85,0.07,0.0,2.79,Weight Loss
"McDONALD'S, Bacon Ranch Salad without chicken",61,4.14,3.64,4.2,Weight Loss
"Babyfood, strained, without vitamin c, prunes",100,1.0,0.2,23.52,Weight Loss
"Rutabagas, with salt, drained, boiled, cooked",30,0.93,0.18,6.84,Weight Loss
"Beverages, high caffeine, limeade, carbonated",18,0.0,0.11,4.16,Weight Loss
"Game meat, pan-broiled, cooked, ground, bison",238,23.77,15.13,0.0,Muscle Gain
"Mollusks, fried, cooked, mixed species, squid",175,17.94,7.48,7.79,Muscle Gain
"Fish, regular, (lox), smoked, chinook, salmon",117,18.28,4.32,0.0,Muscle Gain
"Veal, raw, separable lean only, arm, shoulder",105,20.04,2.16,0.0,Muscle Gain
"Beverages, without caffeine, cola, carbonated",41,0.0,0.0,10.58,Weight Loss
"Beef, cooked, unspecified fat content, ground",240,25.07,14.53,0.62,Muscle Gain
"Lamb, raw, ground lamb, imported, New Zealand",193,20.33,12.41,0.0,Muscle Gain
"CAMPBELL'S CHUNKY Soups, Chicken Corn Chowder",82,2.86,4.08,8.16,Weight Loss
"Nuts, boiled and steamed, japanese, chestnuts",56,0.82,0.19,12.64,Weight Loss
"Beverages, citrus flavor, VAULT, Energy drink",49,0.0,0.0,12.99,Weight Loss
"PIZZA HUT 14"" Cheese Pizza, Hand-Tossed Crust",275,11.98,10.42,33.42,Maintain
"Onions, without salt, drained, boiled, cooked",44,1.36,0.19,10.15,Weight Loss
"Turkey, raw, meat only, from whole bird, wing",114,23.66,1.48,0.14,Muscle Gain
"CAMPBELL'S, condensed, Cream of Mushroom Soup",81,1.29,5.5,6.59,Weight Loss
SILK Vanilla soy yogurt (single serving size),88,2.94,1.76,14.71,Weight Loss
"CAMPBELL'S Soup on the Go, Creamy Tomato Soup",59,0.98,1.64,9.84,Weight Loss
"Stew, badufsuki (Hopi), pinto bean and hominy",32,1.42,0.54,5.38,Weight Loss
"WORTHINGTON Prime Stakes, unprepared, canned",135,10.2,7.2,7.5,Weight Loss
"Turkey, raw, meat only, breast, retail parts",114,23.34,2.33,0.0,Muscle Gain
"Babyfood, strained, vegetable and brown rice",69,1.9,1.5,12.1,Weight Loss
"Tomatoes, year round average, raw, ripe, red",18,0.88,0.2,3.89,Weight Loss
"Apples, microwave, cooked, without skin, raw",56,0.28,0.42,14.41,Weight Loss
"WORTHINGTON Prosage Roll, unprepared, frozen",261,19.6,17.6,6.0,Muscle Gain
"Crustaceans, moist heat, cooked, queen, crab",115,23.72,1.51,0.0,Muscle Gain
"Babyfood, junior, vegetables and ham, dinner",60,2.02,1.89,8.64,Weight Loss
"Mustard greens, with salt, drained, boiled, cooked",26,2.56,0.47,4.51,Weight Loss
"Figs, solids and liquids, heavy syrup pack, canned",88,0.38,0.1,22.9,Weight Loss
"Sauce, canned, immature green, hot, peppers, chili",20,0.7,0.1,5.0,Weight Loss
"Soup, ready-to-serve, canned, chunky chicken noodle",41,3.09,1.16,4.46,Weight Loss
"Pears, solids and liquids, light syrup pack, canned",57,0.19,0.03,15.17,Weight Loss
"Mollusks, dry heat, cooked, farmed, eastern, oyster",79,7.0,2.12,7.28,Weight Loss
"Stinging Nettles, blanched (Northern Plains Indians)",42,2.71,0.11,7.49,Weight Loss
"Vitasoy USA, Vitasoy Organic Classic Original Soymilk",47,3.2,1.8,4.5,Weight Loss
"Salad dressing, low calorie, blue or roquefort cheese",99,5.1,7.2,2.9,Weight Loss
"DOMINO'S 14"" Sausage Pizza, Classic Hand-Tossed Crust",273,11.08,11.2,31.84,Maintain
"USDA Commodity, frozen, smoked, dark meat, turkey ham",118,16.3,4.0,3.1,Muscle Gain
"Mollusks, drained solids, canned, mixed species, clam",142,24.25,1.59,5.9,Muscle Gain
"Winged beans, with salt, boiled, cooked, mature seeds",147,10.62,5.84,14.94,Weight Loss
"Mustard greens, without salt, drained, boiled, cooked",26,2.56,0.47,4.51,Weight Loss
"Pork, pan-broiled, cooked, 84% lean / 16% fat, ground",301,27.14,21.39,0.0,Muscle Gain
"Turkey, bone removed, with skin, cooked, smoked, wing",221,27.4,12.41,0.0,Muscle Gain
Campbell's Brown Sugar And Bacon Flavored Baked Beans,123,3.85,1.92,23.08,Weight Loss
"Gravy, fat free, slow roast, chicken, FRANCO-AMERICAN",34,1.69,0.0,6.78,Weight Loss
"Mothbeans, without salt, boiled, cooked, mature seeds",117,7.81,0.55,20.96,Weight Loss
"Tomato products, with herbs and cheese, sauce, canned",59,2.13,1.93,10.24,Weight Loss
"Cocoa, processed with alkali, unsweetened, dry powder",220,18.1,13.1,58.3,Muscle Gain
"Apricots, stewed, sulfured, dehydrated (low-moisture)",126,1.93,0.24,32.62,Weight Loss
"Asparagus, with salt, drained, boiled, cooked, frozen",18,2.95,0.42,1.92,Weight Loss
"LOMA LINDA Swiss Stake with Gravy, unprepared, canned",138,10.2,6.2,10.4,Weight Loss
"Sauce, with butter, prepared-from-recipe, thin, white",72,3.95,2.56,8.29,Weight Loss
"WORTHINGTON Meatless Chicken Roll, unprepared, frozen",154,16.1,8.0,4.3,Muscle Gain
"Beverages, with added vitamin C, canned, orange drink",49,0.0,0.07,12.34,Weight Loss
"Peas, solids and liquids, regular pack, canned, green",58,3.01,0.48,10.6,Weight Loss
"McDONALD'S, Premium Crispy Chicken Ranch BLT Sandwich",244,14.7,9.55,24.93,Maintain
"Frijoles rojos volteados (Refried beans, red, canned)",144,5.0,6.93,15.47,Weight Loss
"Beans, with salt, boiled, cooked, mature seed, adzuki",128,7.52,0.1,24.77,Weight Loss
"GARDENBURGER Flame Grilled Burger, unprepared, frozen",122,15.2,4.4,6.8,Muscle Gain
"GARDENBURGER Veggie Medley Burger, unprepared, frozen",121,4.1,3.6,24.0,Weight Loss
"Pork, raw, separable lean and fat, whole, loin, fresh",198,19.74,12.58,0.0,Muscle Gain
"Beans, with salt, boiled, cooked, mature seeds, pinto",143,9.01,0.65,26.22,Weight Loss
"Potatoes, without salt, flesh, cooked in skin, boiled",87,1.87,0.1,20.13,Weight Loss
"Soup, prepared with water, mix, dry, cream of chicken",41,0.68,2.04,5.11,Weight Loss
"Babyfood, strained, pineapple, fruit pudding, dessert",81,1.3,0.3,20.3,Weight Loss
"Drumstick pods, without salt, drained, boiled, cooked",36,2.09,0.19,8.18,Weight Loss
"Chicken, raw, meat and skin, wing, broilers or fryers",191,17.52,12.85,0.0,Muscle Gain
"Pork, pan-broiled, cooked, 72% lean / 28% fat, ground",377,22.59,31.42,1.08,Muscle Gain
"Chicken, back meat and skin, BBQ, rotisserie, broiler",251,20.29,18.86,0.4,Muscle Gain
"Pumpkin leaves, without salt, drained, boiled, cooked",21,2.72,0.22,3.39,Weight Loss
"Pork, raw, feet, variety meats and by-products, fresh",212,23.16,12.59,0.0,Muscle Gain
"Fruit juice smoothie, GREEN GOODNESS, BOLTHOUSE FARMS",56,0.63,0.33,13.04,Weight Loss
"Soy sauce made from soy and wheat (shoyu), low sodium",57,9.05,0.3,5.59,Weight Loss
"Cattail, Narrow Leaf Shoots (Northern Plains Indians)",25,1.18,0.0,5.14,Weight Loss
"Sweet potato, with salt, flesh, baked in skin, cooked",92,2.01,0.15,20.71,Weight Loss
"Sweet potato, with salt, without skin, boiled, cooked",76,1.37,0.14,17.72,Weight Loss
"Incaparina, unprepared, dry mix (corn and soy flours)",379,21.75,5.58,60.53,Muscle Gain
"Peaches, solids and liquids, heavy syrup pack, canned",74,0.45,0.1,19.94,Weight Loss
"Peaches, solids and liquids, light syrup pack, canned",54,0.45,0.03,14.55,Weight Loss
"Potatoes, unprepared, frozen, wedge cut, french fried",166,2.56,7.47,22.22,Weight Loss
"CAMPBELL'S Red and White, condensed, Beef Noodle Soup",56,3.17,1.59,6.35,Weight Loss
"USDA Commodity, cooked, frozen, beef patties with VPP",247,15.64,16.94,7.89,Muscle Gain
"Potatoes, skin with salt, in skin, cooked, microwaved",132,4.39,0.1,29.63,Weight Loss
"TACO BELL, cheese and lettuce, Soft Taco with chicken",189,13.3,6.35,19.69,Weight Loss
"Babyfood, apple and sweet potato, fruit and vegetable",64,0.3,0.22,15.3,Weight Loss
"Desserts, prepared-from-recipe, caramel custard, flan",145,4.53,4.03,22.78,Weight Loss
"Cabbage, without salt, drained, boiled, cooked, savoy",24,1.8,0.09,5.41,Weight Loss
"Cheese, shredded, part-skim, low moisture, mozzarella",304,23.63,19.72,8.06,Muscle Gain
"Blackberries, solids and liquids, heavy syrup, canned",92,1.31,0.14,23.1,Weight Loss
"Beverages, unsweetened, ready-to-drink, tea, WENDY'S",1,0.22,0.0,0.0,Weight Loss
"Beverages, Diet Fruit Medley, V8 SPLASH Juice Drinks",4,0.0,0.0,1.26,Weight Loss
"Yambean (jicama), with salt, drained, boiled, cooked",36,0.72,0.09,8.23,Weight Loss
"Fast foods, large patty; plain, cheeseburger; single",310,17.29,15.97,24.07,Muscle Gain
"Apples, unheated, drained, sliced, sweetened, canned",67,0.18,0.49,16.7,Weight Loss
"Chicken, raw, meat and skin, leg, broilers or fryers",214,16.37,15.95,0.17,Muscle Gain
"Cheese, with vegetables, 1% milkfat, lowfat, cottage",67,10.9,1.0,3.0,Weight Loss
"Prunes, solids and liquids, heavy syrup pack, canned",105,0.87,0.2,27.8,Weight Loss
"Beans, with salt, boiled, cooked, mature seeds, navy",140,8.23,0.62,26.05,Weight Loss
"MORNINGSTAR FARMS Chik'n Nuggets, unprepared, frozen",221,14.4,10.0,21.8,Maintain
"Cheese, lactose reduced, 1% milkfat, lowfat, cottage",74,12.4,1.0,3.2,Weight Loss
